time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city,month,is_flowering_colza,is_flowering_tournesol,is_flowering_lavande,is_flowering_pommiers,activity_score_colza,activity_score_tournesol,activity_score_lavande,activity_score_pommiers
2017-02-24,8.5,0.2,20.4,92,35078.02,Orleans,2,0,0,0,0,0,0,0,0
2017-02-25,10.1,0.0,13.7,95,35294.08,Orleans,2,0,0,0,0,0,0,0,0
2017-02-26,11.1,0.1,23.2,91,1820.5,Orleans,2,0,0,0,0,0,0,0,0
2017-02-27,11.9,9.6,38.0,94,3136.62,Orleans,2,0,0,0,0,0,0,0,0
2017-02-28,7.0,9.6,29.8,95,19869.79,Orleans,2,0,0,0,0,0,0,0,0
2017-03-01,10.5,8.4,31.9,95,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-02,10.5,0.4,30.3,93,30884.93,Orleans,3,1,0,0,0,0,0,0,0
2017-03-03,16.6,1.2,22.2,79,27861.87,Orleans,3,1,0,0,0,1,0,0,0
2017-03-04,10.9,22.2,24.5,96,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-05,10.1,6.9,36.7,95,8321.09,Orleans,3,1,0,0,0,0,0,0,0
2017-03-06,8.9,10.3,32.8,93,7200.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-07,9.8,0.1,22.7,89,12940.19,Orleans,3,1,0,0,0,1,0,0,0
2017-03-08,13.4,3.0,26.2,99,3600.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-09,13.8,0.7,21.5,94,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-10,13.6,0.3,13.1,94,23905.38,Orleans,3,1,0,0,0,1,0,0,0
2017-03-11,17.0,0.0,11.4,93,37026.32,Orleans,3,1,0,0,0,2,0,0,0
2017-03-12,16.9,0.0,18.2,96,35082.53,Orleans,3,1,0,0,0,2,0,0,0
2017-03-13,15.4,0.0,21.4,96,33194.26,Orleans,3,1,0,0,0,2,0,0,0
2017-03-14,14.0,0.0,11.2,98,37969.6,Orleans,3,1,0,0,0,1,0,0,0
2017-03-15,12.6,0.0,11.6,96,16175.74,Orleans,3,1,0,0,0,1,0,0,0
2017-03-16,19.4,0.0,9.5,95,39366.37,Orleans,3,1,0,0,0,2,0,0,0
2017-03-17,11.5,0.0,13.4,100,1075.26,Orleans,3,1,0,0,0,1,0,0,0
2017-03-18,12.2,1.0,28.0,85,314.8,Orleans,3,1,0,0,0,0,0,0,0
2017-03-19,12.6,0.4,22.8,95,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-20,11.4,0.1,24.0,92,12176.82,Orleans,3,1,0,0,0,1,0,0,0
2017-03-21,10.0,2.1,21.4,91,1457.54,Orleans,3,1,0,0,0,0,0,0,0
2017-03-22,11.7,10.1,20.9,95,31111.29,Orleans,3,1,0,0,0,1,0,0,0
2017-03-23,10.6,10.0,14.0,97,14118.23,Orleans,3,1,0,0,0,1,0,0,0
2017-03-24,13.6,1.7,18.9,99,7702.94,Orleans,3,1,0,0,0,1,0,0,0
2017-03-25,16.3,0.0,26.0,91,38730.04,Orleans,3,1,0,0,0,1,0,0,0
2017-03-26,17.4,0.0,13.3,93,30257.15,Orleans,3,1,0,0,0,2,0,0,0
2017-03-27,18.3,0.0,14.2,92,41695.06,Orleans,3,1,0,0,0,2,0,0,0
2017-03-28,16.5,1.2,14.8,89,41688.36,Orleans,3,1,0,0,0,1,0,0,0
2017-03-29,19.4,0.0,9.8,95,42105.4,Orleans,3,1,0,0,0,2,0,0,0
2017-03-30,22.4,0.0,13.6,87,42308.38,Orleans,3,1,0,0,0,2,0,0,0
2017-03-31,16.8,0.3,21.8,85,35207.82,Orleans,3,1,0,0,0,1,0,0,0
2017-04-01,14.6,0.3,15.1,92,36351.93,Orleans,4,1,0,0,1,1,0,0,1
2017-04-02,16.1,0.6,10.8,98,42168.43,Orleans,4,1,0,0,1,1,0,0,1
2017-04-03,18.0,0.0,11.3,95,42096.8,Orleans,4,1,0,0,1,2,0,0,2
2017-04-04,16.1,1.6,17.0,89,37061.21,Orleans,4,1,0,0,1,1,0,0,1
2017-04-05,15.1,0.1,18.9,90,36278.77,Orleans,4,1,0,0,1,1,0,0,1
2017-04-06,12.6,0.0,22.5,81,40393.81,Orleans,4,1,0,0,1,1,0,0,1
2017-04-07,16.6,0.0,11.2,92,43368.49,Orleans,4,1,0,0,1,2,0,0,2
2017-04-08,20.2,0.0,10.1,94,43451.59,Orleans,4,1,0,0,1,2,0,0,2
2017-04-09,23.9,0.0,9.0,93,43627.19,Orleans,4,1,0,0,1,2,0,0,2
2017-04-10,16.3,0.0,17.5,92,39588.91,Orleans,4,1,0,0,1,2,0,0,2
2017-04-11,14.7,0.0,14.7,80,41725.89,Orleans,4,1,0,0,1,1,0,0,1
2017-04-12,17.2,0.0,15.2,97,44099.42,Orleans,4,1,0,0,1,2,0,0,2
2017-04-13,14.1,0.0,9.2,96,30096.29,Orleans,4,1,0,0,1,1,0,0,1
2017-04-14,16.1,0.1,15.3,97,27825.36,Orleans,4,1,0,0,1,1,0,0,1
2017-04-15,13.1,1.9,17.5,89,10762.02,Orleans,4,1,0,0,1,1,0,0,1
2017-04-16,12.7,0.3,15.1,92,25591.83,Orleans,4,1,0,0,1,1,0,0,1
2017-04-17,13.7,0.2,18.7,89,35025.49,Orleans,4,1,0,0,1,1,0,0,1
2017-04-18,11.2,0.3,20.2,83,43352.57,Orleans,4,1,0,0,1,1,0,0,1
2017-04-19,11.1,0.0,24.2,93,45864.33,Orleans,4,1,0,0,1,1,0,0,1
2017-04-20,11.8,0.0,18.3,74,45994.7,Orleans,4,1,0,0,1,1,0,0,1
2017-04-21,16.2,0.0,10.0,83,46220.93,Orleans,4,1,0,0,1,2,0,0,2
2017-04-22,17.4,0.0,18.8,94,45626.32,Orleans,4,1,0,0,1,2,0,0,2
2017-04-23,14.3,0.0,18.6,79,46044.93,Orleans,4,1,0,0,1,1,0,0,1
2017-04-24,16.6,0.0,13.7,83,46825.73,Orleans,4,1,0,0,1,2,0,0,2
2017-04-25,9.4,1.2,19.7,93,0.0,Orleans,4,1,0,0,1,0,0,0,0
2017-04-26,10.6,0.8,21.4,71,46477.18,Orleans,4,1,0,0,1,1,0,0,1
2017-04-27,11.4,1.3,17.5,91,47724.98,Orleans,4,1,0,0,1,1,0,0,1
2017-04-28,13.6,0.7,13.4,91,30730.4,Orleans,4,1,0,0,1,1,0,0,1
2017-04-29,17.1,0.0,18.0,97,44306.18,Orleans,4,1,0,0,1,2,0,0,2
2017-04-30,18.1,10.3,25.8,88,31936.65,Orleans,4,1,0,0,1,1,0,0,1
2017-05-01,13.9,1.3,28.8,88,44297.34,Orleans,5,1,0,0,1,0,0,0,0
2017-05-02,14.9,1.9,11.3,96,33194.58,Orleans,5,1,0,0,1,1,0,0,1
2017-05-03,12.4,7.2,13.3,95,23925.17,Orleans,5,1,0,0,1,1,0,0,1
2017-05-04,15.8,0.6,11.8,99,48932.45,Orleans,5,1,0,0,1,1,0,0,1
2017-05-05,19.1,0.0,22.2,98,48998.27,Orleans,5,1,0,0,1,2,0,0,2
2017-05-06,14.5,6.6,19.1,95,0.0,Orleans,5,1,0,0,1,0,0,0,0
2017-05-07,15.4,1.1,18.4,94,30743.19,Orleans,5,1,0,0,1,1,0,0,1
2017-05-08,14.1,0.4,20.2,96,23101.36,Orleans,5,1,0,0,1,1,0,0,1
2017-05-09,15.2,0.0,17.7,87,49402.37,Orleans,5,1,0,0,1,2,0,0,2
2017-05-10,21.0,0.0,14.8,81,43774.04,Orleans,5,1,0,0,1,2,0,0,2
2017-05-11,17.8,3.6,18.1,94,23296.28,Orleans,5,1,0,0,1,1,0,0,1
2017-05-12,20.1,6.0,19.3,95,42871.04,Orleans,5,1,0,0,1,1,0,0,1
2017-05-13,18.5,0.0,19.6,93,49693.62,Orleans,5,1,0,0,1,2,0,0,2
2017-05-14,19.2,1.2,19.3,89,44586.89,Orleans,5,1,0,0,1,1,0,0,1
2017-05-15,23.2,0.0,10.4,93,46236.86,Orleans,5,1,0,0,1,2,0,0,2
2017-05-16,25.8,0.0,12.7,88,48101.03,Orleans,5,1,0,0,1,2,0,0,2
2017-05-17,27.8,2.9,20.0,93,38784.77,Orleans,5,1,0,0,1,1,0,0,1
2017-05-18,18.8,12.8,21.9,96,17028.47,Orleans,5,1,0,0,1,1,0,0,1
2017-05-19,14.9,2.7,22.3,93,44653.41,Orleans,5,1,0,0,1,1,0,0,1
2017-05-20,16.3,1.5,15.9,96,50388.29,Orleans,5,1,0,0,1,1,0,0,1
2017-05-21,20.7,0.0,14.9,100,50650.55,Orleans,5,1,0,0,1,2,0,0,2
2017-05-22,25.1,0.0,13.0,86,50318.68,Orleans,5,1,0,0,1,2,0,0,2
2017-05-23,22.6,0.0,14.6,94,38859.85,Orleans,5,1,0,0,1,2,0,0,2
2017-05-24,21.6,0.0,13.2,97,27071.5,Orleans,5,1,0,0,1,2,0,0,2
2017-05-25,25.4,0.0,19.2,89,51048.45,Orleans,5,1,0,0,1,2,0,0,2
2017-05-26,27.5,0.0,18.0,73,51285.4,Orleans,5,1,0,0,1,2,0,0,2
2017-05-27,28.9,0.0,13.2,87,51067.02,Orleans,5,1,0,0,1,2,0,0,2
2017-05-28,30.9,0.3,14.2,94,45281.23,Orleans,5,1,0,0,1,1,0,0,1
2017-05-29,26.4,0.5,18.6,92,45587.88,Orleans,5,1,0,0,1,1,0,0,1
2017-05-30,22.7,0.7,16.2,95,50420.55,Orleans,5,1,0,0,1,1,0,0,1
2017-05-31,24.6,0.0,14.4,86,32671.66,Orleans,5,1,0,0,1,2,0,0,2
2017-06-01,26.0,0.0,11.7,82,45678.02,Orleans,6,0,1,1,0,0,2,2,0
2017-06-02,27.8,2.9,13.0,94,51232.05,Orleans,6,0,1,1,0,0,1,1,0
2017-06-03,19.9,9.2,16.7,99,594.82,Orleans,6,0,1,1,0,0,1,1,0
2017-06-04,18.9,0.7,13.3,94,48706.89,Orleans,6,0,1,1,0,0,1,1,0
2017-06-05,21.5,0.3,19.5,92,40421.71,Orleans,6,0,1,1,0,0,1,1,0
2017-06-06,17.5,5.5,32.6,88,50554.04,Orleans,6,0,1,1,0,0,1,1,0
2017-06-07,19.3,0.0,25.1,79,45252.08,Orleans,6,0,1,1,0,0,1,1,0
